# Rime user dictionary
#@/db_name	wanxiang_pro
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	9687
#@/user_id	arsiendle_pc
a;ka 	啊	c=9 d=1.45172 t=9687
ba;kb 	吧	c=40 d=2.31727 t=9687
biàn;rg yú;aa 	便于	c=1 d=0.0871609 t=9687
biàn;wy,yy 	变	c=4 d=0.255381 t=9687
biàn;wy,yy chéng;gg,wg 	变成	c=11 d=0.673361 t=9687
biàn;wy,yy de;xc 	变得	c=1 d=0.0569831 t=9687
biàn;wy,yy huí;kk 	变回	c=2 d=0.71177 t=9687
biàn;wy,yy le;aa,vu 	变了	c=1 d=0.00124951 t=9687
biàn;wy,yy liàng;ol 	变量	c=8 d=2.55435 t=9687
biàn;wy,yy wéi;dd 	变为	c=1 d=0.477114 t=9687
biàn;wy,yy xíng;pk 	变形	c=1 d=0.822835 t=9687
biàn;wy,yy xù;gy 	变序	c=4 d=0.00530936 t=9687
biàn;zb 	遍	c=1 d=0.0026852 t=9687
biè;dl niǔ;fi 	别扭	c=1 d=0.612626 t=9687
bié;dl 	别	c=2 d=0.0889928 t=9687
bié;dl de;bu 	别的	c=1 d=0.767206 t=9687
bié;dl kàn;ou,uo 	别看	c=1 d=0.0309618 t=9687
bié;dl rén;pd 	别人	c=5 d=2.57098 t=9687
bié;dl shuō;yd huà;yu 	别说话	c=4 d=0.457563 t=9687
bié;dl wèn;km,mk 	别问	c=1 d=0.869358 t=9687
biān;sb mǎ;um 	编码	c=24 d=4.8946 t=9687
biāo;mu qiān;va,vq 	标签	c=1 d=0.666977 t=9687
biāo;mu zhǔn;dv 	标准	c=2 d=8.96247e-10 t=9687
biǎo;fy 	表	c=4 d=0.0506297 t=9687
biǎo;fy dá;zd 	表达	c=1 d=0.000599149 t=9687
biǎo;fy shì;ex,ad 	表示	c=1 d=0.276651 t=9687
bà;fb ba;fb 	爸爸	c=1 d=7.35846e-10 t=9687
bà;sq le;aa,vu 	罢了	c=1 d=1.13373e-06 t=9687
bài;pa,ua,uf tuō;fq,ft 	拜托	c=1 d=0.0413782 t=9687
bàn;bf chéng;gg,wg pǐn;kk 	半成品	c=1 d=0.362402 t=9687
bàn;lb fǎ;dq 	办法	c=9 d=1.43707 t=9687
bào;fy 	报	c=1 d=0.00096344 t=9687
bào;fy cuò;jx 	报错	c=1 d=0.01649 t=9687
bào;fy gào;kn,nk 	报告	c=4 d=0.0418223 t=9687
bá;fb,fy xià;ab,ad lái;am,wb 	拔下来	c=1 d=0.752014 t=9687
bá;fb,fy xiàn;sj 	拔线	c=1 d=0.00249118 t=9687
bái;pa,po tiān;ad 	白天	c=2 d=0.198815 t=9687
bèi;ob jǐng;oj 	背景	c=3 d=0.332165 t=9687
bèi;rk,rp jìng;jj 	倍镜	c=1 d=0.000122182 t=9687
bèi;rk,rp lǜ;wu 	倍率	c=1 d=0.571209 t=9687
bèi;rk,rp sù;zu 	倍速	c=21 d=6.4551 t=9687
bèi;wt fèn;rf 	备份	c=13 d=2.15796 t=9687
bèi;yp 	被	c=21 d=2.07288 t=9687
bèi;yp pò;zb 	被迫	c=1 d=0.0380064 t=9687
bèn;vb dàn;ip,pi 	笨蛋	c=2 d=0.00327971 t=9687
bì;bu,ub jìng;le 	毕竟	c=4 d=0.701321 t=9687
bì;cb,cw duān;le 	弊端	c=1 d=0.0735345 t=9687
bì;dd,xp yào;xn 	必要	c=1 d=0.245367 t=9687
bì;zb,zx miǎn;de,dm 	避免	c=3 d=0.00129473 t=9687
bìng;bk,qc 	并	c=9 d=0.751174 t=9687
bìng;bk,qc bù;ad,ax zhí;aa,uq guān;jy,yj 	并不直观	c=1 d=0.116484 t=9687
bìng;bk,qc bú;ad,ax huì;ry 	并不会	c=1 d=0.031273 t=9687
bìng;bk,qc fēi;aa wǒ;pd,pp suǒ;hj,jh yuàn;xy 	并非我所愿	c=1 d=0.000575656 t=9687
bìng;bk,qc jiāng;dc,jc,pc 	并将	c=1 d=0.416862 t=9687
bìng;bk,qc qiě;aa 	并且	c=1 d=0.0520787 t=9687
